"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"1915","Allen S King","Northern States Power Co - Minnesota","13781","MN","COL",786.0200000000000000
"1922","Monticello Nuclear Facility","Northern States Power Co - Minnesota","13781","MN","NUC",5593.3140000000000000
"1925","Prairie Island","Northern States Power Co - Minnesota","13781","MN","NUC",4746.3980000000000000
"1925","Prairie Island","Northern States Power Co - Minnesota","13781","MN","NUC",4337.5760000000000000
"1926","Red Wing","Northern States Power Co - Minnesota","13781","MN","MLG",64.7060000000000000
"1926","Red Wing","Northern States Power Co - Minnesota","13781","MN","OTH",79.0870000000000000
"1926","Red Wing","Northern States Power Co - Minnesota","13781","MN","NG",1.3260000000000000
"1926","Red Wing","Northern States Power Co - Minnesota","13781","MN","WWW",0.04600000000000000000
"1927","Riverside (MN)","Northern States Power Co - Minnesota","13781","MN","DFO",0.00100000000000000000
"1927","Riverside (MN)","Northern States Power Co - Minnesota","13781","MN","NG",746.2090000000000000
"1927","Riverside (MN)","Northern States Power Co - Minnesota","13781","MN","DFO",0.00200000000000000000
"1927","Riverside (MN)","Northern States Power Co - Minnesota","13781","MN","NG",1433.1140000000000000
"1934","Wilmarth","Northern States Power Co - Minnesota","13781","MN","MLG",50.2100000000000000
"1934","Wilmarth","Northern States Power Co - Minnesota","13781","MN","OTH",61.3680000000000000
"1934","Wilmarth","Northern States Power Co - Minnesota","13781","MN","NG",2.3460000000000000
"1943","Hoot Lake","Otter Tail Power Co","14232","MN","HYC",5.1250000000000000
"1943","Hoot Lake","Otter Tail Power Co","14232","MN","DFO",1.2330000000000000
"1943","Hoot Lake","Otter Tail Power Co","14232","MN","COL",197.2820000000000000
"1973","Fairmont (MN)","Southern Minnesota Mun P Agny","40580","MN","DFO",0.04800000000000000000
"1973","Fairmont (MN)","Southern Minnesota Mun P Agny","40580","MN","NG",14.6360000000000000
"1998","Mountain Lake","City of Mountain Lake - (MN)","13048","MN","DFO",0.01300000000000000000
"1998","Mountain Lake","City of Mountain Lake - (MN)","13048","MN","NG",0.00200000000000000000
"1998","Mountain Lake","City of Mountain Lake - (MN)","13048","MN","WND",3.0770000000000000
"2022","Willmar","Willmar Municipal Utilities","20737","MN","ORW",0E-20
"2022","Willmar","Willmar Municipal Utilities","20737","MN","ORW",0E-20
"2022","Willmar","Willmar Municipal Utilities","20737","MN","NG",0E-20
"2022","Willmar","Willmar Municipal Utilities","20737","MN","NG",0E-20
"2022","Willmar","Willmar Municipal Utilities","20737","MN","COL",0E-20
"2022","Willmar","Willmar Municipal Utilities","20737","MN","COL",0E-20
"2022","Willmar","Willmar Municipal Utilities","20737","MN","WND",3.8230000000000000
"2022","Willmar","Willmar Municipal Utilities","20737","MN","WND",3.3350000000000000
"2024","Worthington","City of Worthington - (MN)","21013","MN","DFO",0.06200000000000000000
"2024","Worthington","City of Worthington - (MN)","21013","MN","WND",10.8050000000000000
"2076","Asbury","Empire District Electric Co","5860","MO","COL",0E-20
"2076","Asbury","Empire District Electric Co","5860","MO","DFO",0E-20
"2076","Asbury","Empire District Electric Co","5860","MO","COL",0E-20
"2076","Asbury","Empire District Electric Co","5860","MO","OTH",0E-20
"2079","Hawthorn","Evergy Metro","10000","MO","NG",34.1770000000000000
"2079","Hawthorn","Evergy Metro","10000","MO","NG",95.0770000000000000
"2079","Hawthorn","Evergy Metro","10000","MO","NG",98.3720000000000000
"2079","Hawthorn","Evergy Metro","10000","MO","NG",13.6540000000000000
"2079","Hawthorn","Evergy Metro","10000","MO","COL",1988.6370000000000000
"2081","Northeast (MO)","Evergy Metro","10000","MO","DFO",6.3750000000000000
"2081","Northeast (MO)","Evergy Metro","10000","MO","DFO",0E-20
